OE_Response,Junk 
bad experience device xr phone back camera found defective non functional amazon careless havent got response confirmation replacing hanging damaged piece worth rupee,no
amazing phone amazing camera coming device plus great service amazon,no
got device xr today product look amazing unfortunately face id working there glitch front camera portrait mode thats fine may happen whats fine pathetic service provided amazon apple firstly amazon take responsibility product sold talking giant apple called market leader went service centre running diagnostic solution came sending phone bangalore repair like sending new phone repair practical solution company provides charging bomb product also mention amazonin authorised apple reseller guess issue escalated consumer court thank amazon apple,no
ive android user life decided try device xr io loving camera battery life absolute joy one month since got phone im loving face id work flawlessly even dark dual sim function working like charm im using vodafone primary sim jio esim faced problem whatsoever,no
delivered phone work immediately removing box able return need first check apple apple service told phone lying without charge since month hence battery failed leave phone apple repair waiting replace battery please answer run around sub par quality device shipped dead phone last time ever purchase phone online,no
month since started using device xr experience awesome excellent battery life smooth operating system dual sim functionality best feature device spent many day decide colour opted white im happy coral also good colour option bought wife issue bothering time taken charge phone need opt overnight charging extremely happy purchase,no
phone hanging video quality good,no
ill use review mostly say im fan particular device model,no
went device xr month considerationamazon offering really good discount felt time right upgrade used device four seamless year,no
bad experience device xr phone back camera found defective non functional amazon careless havent got response confirmation replacing hanging damaged piece worth rupee,no
amazing phone amazing camera coming device plus great service amazon,no
got device xr today product look amazing unfortunately face id working there glitch front camera portrait mode thats fine may happen whats fine pathetic service provided amazon apple firstly amazon take responsibility product sold talking giant apple called market leader went service centre running diagnostic solution came sending phone bangalore repair like sending new phone repair practical solution company provides charging bomb product also mention amazonin authorised apple reseller guess issue escalated consumer court thank amazon apple,no
ive android user life decided try device xr io loving camera battery life absolute joy one month since got phone im loving face id work flawlessly even dark dual sim function working like charm im using vodafone primary sim jio esim faced problem whatsoever,no
delivered phone work immediately removing box able return need first check apple apple service told phone lying without charge since month hence battery failed leave phone apple repair waiting replace battery please answer run around sub par quality device shipped dead phone last time ever purchase phone online,no
month since started using device xr experience awesome excellent battery life smooth operating system dual sim functionality best feature device spent many day decide colour opted white im happy coral also good colour option bought wife issue bothering time taken charge phone need opt overnight charging extremely happy purchase,no
phone hanging video quality good,no
ill use review mostly say im fan particular device model,no
went device xr month considerationamazon offering really good discount felt time right upgrade used device four seamless year,no
best mobile favourite nice xr amazing future best camera thanks amazon,no
dont buy apple product amazon got defective product activating first charging device started heating like anything since day replacement policy asked amazon replace product defective poor customer service amazon didnt change device rather told visit service centre defective product operating,no
face recognition slower time complaint die hard fan xr eagerly waiting dual sim device heavy look attractive ready carry little extra weight using since two month dont watch review buy enjoy yes expensive sometimes rather many time money worth happiness,no
great phone happy phone far,no
lot review net xr would give quick point based experience xr gb,no
dont buy phone waste money hang many time,no
steve job gone phone gone,no
supporting type sim network get disconnected sometime,no
always unhappy size previous iphones device badly needed upgrade dont budget lakh took chance xr happy purchase,no
im facing speaker related issue given handset xr gb service center denied repair stating handset fake valid warrenty,no
amazing product yet apple know many people confused wheather go apple x xr well frank suggest xr purely fact xr yr support apple respect x dual camera x single camera xr quality far speed go xr dual sim gotta understand insert sim nd sim esim need activated telecom service provider there much difference display well xr rule,no
taken phone phone hold many defect issue talk mouth pice precise hold voice creaky voice audible phone even partially away chinmouth,no
two angle smartphones generally looked honest review genuine user understand really want apple,no
smooth butter lag awesome display superb camerajust perfect phone,no
using around week snappy fast power efficient give back whole day average use single impressive rear camera selfie camera excellent low light performance average though phone bulky heavy weighing gram surely need use protective case protect camera bump glass side display crisp,no
far best smartphone ever owned,no
perfect phone great camera great performance great look great battery life good display worth trade perfect size,no
never buy amazon poor product customer carei bought received noted crack right top corner display visible plastic sticker removed complained amazon customer cell assured replacement nothing happened called number time simply tranfer call diiferent section assurinng call back calling back apple say duty amazon take measure replacement still left nowhere money gone damaged product,no
extremely easy use good specification,no
best device ive used sold one plus got one screen oled miss deep black saturation noticed colour better older iphones lcd also thick bezel take time get used oled screen wouldve wonderful apple apple wont,no
poor front camera cannot take photo light background photo attached,no
first phone apple confusion buying pixel device even though pixel far superior apple department went device due craziness product well packed delivered started using phone screen look average battery good hardware seems good camera disappoints al lot never expect apple particular front camera worst indoor lightning condition see dot image like vga camera cost k curious camera disappoints badly even motorola camera work well crazzy brand go else definitely go model market,no
appario seem fraud shipment smartly tampered managed overcome security feature even device package back label tampered amazon customer care phone twitter help need return get replacement,no
beautiful fast stylish device ive ever,no
like every time apple mesmerised great creation device xr best part unbox brand new device come earpod fast charger understand price might bit high trust worth camera best feature within everyone say lcd screen youll nit able differentiate looking screen phone performance faster last least really impressed battery back time really last full charge whole day cellular data played pe played song youtube music hovering whatsapp instagram facebook clicked good photo came back home oclock still charge thats needed device,no
device user always upgraded device xr device regret love ease face recognition brings freedom gb memory brings course peace mind apple brand name brings,no
phone wont turn,no
lot criticism device xr inability take portrait pic human face though true easily overcome downloading software app halide near negligible difference viewing experience put par device x even x max go gb storage version,no
price fallen r day bought phone feel terrible,no
faulty product delivered amazon giving replacement cheating customer making money scam defective product delivery phone usable display stop working randomly screen freeze suddenly provide problem video also amazon within day replacement amazon making money cheating customer,no
device good probably received defective piece amazon facing issue software never heard device hanging issue facing attached video regarding within month visit customer care still facing issue worst experience dont buy amazon,no
super fast performance long battery hour little heavier device plus overall good phone,no
many drawback apps developed device indian company arent good cant even normal tatkal booking irctc app unavailable dual whatsapp one number wasted dual facebook well maximum gb cloud backup storage limit apps get refreshed frequently better enhancement android feature search apps easily wifi disconnected loses auto join feature maximum call record thats annoying difficult set primary secondary sims sm whatsapp feature missing,no
multiple issue faced since started installing restoring icloud get hangedstuck suddenly wifi get disconnected doesnt get connected till restart deteriorated network speed usage data,no
first battery life incredible first phone used get two day use one charge would regularly charge phone overnight one night go bed midnight left next night leave unplugged finish next day midnight around size phone perfect holdingscrolling one hand usually wear men size medium glove reference,no
compared x visible difference would screen kept side side,no
awesome device upgraded device notice significant different display touch xr certainly faster worth upgrade thank amazon delivering securely,no
got phone offer price everything great packing delivery display quality good dual sim option good got esim airtel,no
bought phone wife shes absolutely happy phone,no
want replace device since got worked well w week later speed slowed even hang sometimes month since got n already irritated device lighting usb already stopped working,no
great phone better photo low light battery usage much better x,no
overall pretty nice phone honestly dont find much difference feature old device apart face recognition,no
good phone,no
ive using android close decade decided check io thanks amazon prime sale got device xr discounted pricestill expensive coming device using phone day point came across,no
using phone since month review hope find useful,no
skeptical looking xr review also purchasing device amazon previously always bought apple store however far happy delivery fast prime next day original packing phone box phone working fine touchwood issue deal good additional hdfc discount go gb even higher extra thousand worth run space,no
got defective device xr screen defective there blue shade four side screen phone working completely fine though whoever purchased phone unboxing please check device thoroughly mistake thought maybe something related software fixed software update didnt belief skipped day return policy well still dont blaim amazon purchased airpods well still appario sell defective product customer go hassle getting screen replaced service centre service centre keep phone least day disappointing go brand new phone reason didnt upload pic bcuz visible pic taken another phone,no
good,no
chose device xr x reason inch display support dual sim battery durability longs last got brand new peace made september without defect,no
great india sale saw model offer sister dying get new phone since old phone barely keeping finally made mind arranged fund got sister,no
phone look beautiful bought one month thru amazon put sim speaker working difficult listen voice sometimes becomes disconnected although android phone working good place dont know contact complaint,no
transition android io felt android user friendly compared io,no
able activate device several attempt today purchased,no
hello friend honest review using almost month using android since last seven year decided go device pro con according felt using almost month,no
upgrading xr first reaction,no
everything look good never expect,no
upgraded xr year use purchased low battery issue choose xr rather device even even bought year initial launch,no
start review ill let know love apple brand ive never used p oled phone life screen seems perfectly normal said ill dive review got phone prime day sale ive using almost month thought phone,no
got product amazon flash sale got decent discount using device day certainly say device best battery life till date phone lasted almost hour heavy usage face recognition certainly improved device x thing dislike phone screen quality wont find major difference screen quality unless stream netflix watch youtube overall feel one best iphones apple launched,no
always feel cheated buying device get cheaper every next month,no
using phone decided buy phone checked negative review first buying thought using first give feedback perfect phone advanced feature normal user worth price moving unto flaw seen feedback complaining display low resolution lcd opinion wont spot difference device display another thing ive seen lot people complaining single camera however picture quality get amuse,no
